1006.21,-278.859,1064.43,0.021,-0.8303,0.5553,-0.0427
1004.01,-117.191,1053.11,0.0864,0.8214,-0.5516,0.1167
1005.11,-143.58,1042.95,0.0685,0.8238,-0.5529,0.1045
1005.39,-197.483,1054.07,0.0328,0.8276,-0.5547,0.0799
1005.49,-224.623,1060.37,0.0148,0.8289,-0.5552,0.0675
1005.66,-251.798,1065.49,0.0031,-0.8298,0.5554,-0.0551
1005.9,-278.945,1069.42,0.021,-0.8303,0.5553,-0.0427
1008.13,-332.538,1048.81,0.0568,-0.8301,0.5545,-0.0177
1169.89,-337.232,1022.02,0.0002,0.8338,-0.5426,-0.1013
1143.46,-369.663,1037.13,0.0302,-0.8343,0.5421,0.0958
1091.9,-429.129,1030.4,0.0908,-0.8313,0.5417,0.085
1060.35,-277.82,1063.21,0.0039,0.8318,-0.5551,0.0069
1033.39,-283.346,1064.33,0.0086,-0.8312,0.5553,-0.0248
1006.4,-288.858,1064.27,0.021,-0.8303,0.5553,-0.0427
952.446,-294.819,1060.68,0.0458,-0.8272,0.5545,-0.0784
925.307,-280.263,1057.41,0.0583,-0.8251,0.5537,-0.0962
898.63,-280.687,1052.72,0.0706,-0.8226,0.5526,-0.114
872.182,-281.091,1046.87,0.0829,-0.8197,0.5513,-0.1317
830.26,-254.778,1061.05,0.0807,-0.8809,0.4375,-0.1613
993.339,-260.882,1078.99,0.0211,-0.8648,0.4998,-0.0444
997.679,-266.923,1074.14,0.0211,-0.8537,0.5185,-0.0438
1001.97,-272.916,1069.29,0.021,-0.8422,0.5371,-0.0432
1006.21,-278.86,1064.43,0.021,-0.8303,0.5553,-0.0427
1014.54,-290.596,1054.71,0.0209,-0.8053,0.5911,-0.0414
971.046,-356.034,1040.34,0.082,-0.7881,0.6083,-0.0475
