,0,1,2
0,0.047426945,0.146694271,3.000787346
1,-0.345733662,0.175429889,2.978521539
2,-0.084763508,0.155988571,2.999169978
3,-0.01863057,0.150732491,3.000661638
4,0.04620104,0.148292186,3.001135684
5,-0.1474638,0.16191836,2.995953088
6,-0.278424055,0.170323906,2.985894317
7,0.17736652,0.139257477,2.997567558
8,0.214559141,-0.257644,3.007048531
9,0.285260588,-0.198500551,3.007918135
10,0.422261709,-0.076107974,2.996009423
11,0.040061961,0.015914756,3.004754079
12,0.044037142,0.080927271,3.003390868
13,0.048270655,0.149447066,3.000977934
14,0.050260118,0.280014563,2.991509796
15,0.056667426,0.345116257,2.984494769
16,0.061196871,0.410759805,2.976181695
17,0.065476756,0.47637556,2.966384173
18,-0.017730118,-0.544177598,-2.969187685
19,0.045590495,0.15574635,3.131707734
20,0.045624785,0.151925436,3.08859268
21,0.045909584,0.147721503,3.044958406
22,0.048027156,0.14885477,3.000934532
23,0.050194794,0.141774681,2.913879548
24,0.188361509,0.248268968,2.854872489
